,0,1,2,3
0,-10.870406678113751,-10.859988930386898,-10.85496760970489,-10.908685080962751
1,-10.374620437250762,-10.370716924234612,-10.481394568219464,-10.402874214370874
2,-9.839623879657447,-9.769685049198062,-9.786959459103691,-9.83728891549392
3,-9.108593436888931,-9.07030754890383,-9.083525095247328,-9.06642954735758
4,-8.344720499233881,-8.329247507743386,-8.390525987805892,-8.323280139555367
5,-7.669916300507122,-7.552749816418762,-7.535107234806185,-7.803330751620017
6,-6.906289645453892,-6.762586824646121,-6.75970908661174,-6.885339848557149
7,-6.048438300685305,-5.965779613077002,-5.959947781157778,-6.073067600885542
8,-5.175450470294936,-5.1559739725211235,-5.203571344822939,-5.22634060008213
9,-4.384906234893128,-4.362864954679026,-4.392209978611208,-4.426561218503913
10,-3.6917848592001095,-3.5757154613812556,-3.6113794551816385,-3.680422977108886
11,-2.946799091879333,-2.8910031310133073,-2.861344878133527,-2.94760596868119
12,-11.275919538309813,-11.30784489167193,-11.442510413757962,-11.339056250801127
13,-10.658127137156741,-10.6571842747079,-10.642006793744924,-10.706652150983478
14,-10.004811957844444,-9.882279632638399,-9.874320588149052,-9.895079343128979
15,-9.13421103983504,-9.05996314028786,-9.129244772299982,-9.166104863128409
16,-8.28031126730006,-8.24294168806342,-8.282904986982164,-8.323867542045157
17,-7.457123567846703,-7.393290340840552,-7.388050326405489,-7.551292314337611
18,-6.553354553591932,-6.542570723833996,-6.574087671016591,-6.611839610932661
19,-5.7159613823163085,-5.664026916848416,-5.677221640752794,-5.818169416246693
20,-4.797947928723605,-4.790530489789613,-4.798476883349223,-4.8498473481913615
21,-3.9483990400230264,-3.881974038315387,-3.8893089315786615,-4.000608670507216
22,-2.9917645866012346,-2.9577496412573248,-2.9546301631672325,-3.1055148351318755
23,-2.018170887413039,-2.0851998765656328,-1.9986280495743927,-2.1611466156995505
24,-12.033780489322485,-11.99999999999995,-12.119151034301396,-12.054704730615462
25,-11.062371276151412,-10.999999999999957,-49.724855661880646,-11.056139186443946
26,-10.079297091931618,-9.999999999999964,-54.90173652190051,-10.12004742452329
27,-9.016302576320644,-8.999999999999972,-54.64734757692063,-9.00297488127395
28,-8.00273766367133,-7.9999999999999805,-42.82277329249331,-8.189000430152921
29,-7.060719084233233,-6.999999999999984,-43.14803462570566,-7.222877217074567
30,-6.193149474414743,-5.999999999999988,-60.87737282244481,-6.2296918741318015
31,-5.020720476821192,-4.999999999999991,-60.153246239350054,-5.402318871074485
32,-4.297673496001334,-3.9999999999999947,-10.12457189046045,-4.523131250614573
33,-3.125134132841308,-2.9999999999999964,-19.47192903512756,-3.1900010175577234
34,-2.4421405038354824,-1.9999999999999987,-10.116969537422571,-2.5051998963312845
35,-1.2795536102996263,-1.357661228605385,-0.9999999999999996,-1.6390792958634823
36,-12.999999999999943,-73.4910923392758,-13.005887931306004,-13.122891746073519
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
